income_re,out_4enroldur
0,10.895728
2.4331587,11.638972
6.8634447,11.599947
11.85415,11.428912
16.271983,11.247411
20.305693,11.352285
24.455112,10.963046
28.653497,11.053725
32.406526,10.855122
36.478005,10.96172
39.968486,10.641132
43.464049,10.543896
46.993051,10.361793
50.49476,10.357476
53.94374,10.221829
56.898226,10.517174
59.982921,10.184931
62.99322,10.016803
65.394828,9.8632928
68.018685,9.9563648
70.942113,9.9536582
73.474834,9.8474252
76.007776,9.9247388
78.905627,9.9612538
81.489941,10.023456
83.981657,10.130606
86.935819,10.028939
89.466598,10.256224
91.91987,10.067654
94.943419,10.115061
97.915623,10.149466
100.47813,10.28266
102.88962,10.515054
105.85693,10.10768
108.96307,10.081619
111.95814,10.212903
114.96149,10.145523
117.92536,10.207022
120.92942,10.246161
123.9357,10.187514
127.01505,10.1511
129.87578,10.721619
133.37407,10.073925
141.068,9.3743147
146.01946,9.0396782
151.04957,8.924027
155.88175,8.7812829
161.43438,8.8707633
167.48838,8.6680286
173.92383,8.8449481
181.86985,8.6435786
190.73887,8.4522511
199.90668,8.7988247
212.12969,8.8049098
227.04834,8.8880723
245.45081,8.7913897
276.41704,9.1484781
424.08553,9.0742072
