="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)"
="",="",="",="",="",="",="",="",="",=""
="",="b",="se",="b",="se",="b",="se",="b",="se",="p"
="mc_matage",="27.18",="0.02",="28.27",="0.03",="27.93",="0.04",="28.11",="0.05",="(0.006)"
="mc_white",="73.94",="0.12",="77.26",="0.27",="75.23",="0.29",="76.79",="0.38",="(0.001)"
="mc_matblack",="9.83",="0.08",="7.49",="0.17",="7.56",="0.18",="7.21",="0.23",="(0.225)"
="mc_matasian",="3.21",="0.05",="4.70",="0.13",="5.08",="0.15",="4.67",="0.19",="(0.095)"
="mc_mathisp",="47.39",="0.14",="40.22",="0.31",="47.19",="0.33",="44.20",="0.45",="(0.000)"
="mc_mat_otherrace",="13.02",="0.09",="10.55",="0.20",="12.13",="0.22",="11.33",="0.29",="(0.026)"
="mc_bornoutsideus",="27.04",="0.12",="29.48",="0.29",="35.11",="0.32",="33.06",="0.43",="(0.000)"
="mc_mat_hs",="77.65",="0.12",="86.41",="0.22",="79.93",="0.27",="84.44",="0.33",="(0.000)"
="mc_mat_coll",="17.27",="0.11",="30.15",="0.29",="20.50",="0.27",="26.78",="0.40",="(0.000)"
="mc_mat_married",="53.95",="0.14",="76.38",="0.27",="70.76",="0.30",="74.57",="0.39",="(0.000)"
="mc_pnv",="10.41",="0.01",="10.85",="0.03",="10.81",="0.03",="10.85",="0.04",="(0.381)"
="mc_firstcare_firsttrim",="70.49",="0.13",="76.37",="0.27",="76.04",="0.28",="76.34",="0.39",="(0.536)"
="mc_chronic",="27.70",="0.13",="26.49",="0.28",="27.88",="0.30",="26.90",="0.40",="(0.050)"
="mc_preterm",="9.02",="0.08",="7.24",="0.16",="7.84",="0.18",="7.68",="0.24",="(0.590)"
="mc_complications",="12.86",="0.09",="12.67",="0.21",="13.14",="0.23",="12.81",="0.30",="(0.388)"
="mc_csec",="23.96",="0.12",="23.64",="0.27",="23.31",="0.28",="23.69",="0.39",="(0.430)"
="N",="127493",="",="24806",="",="22519",="",="12155",="",="34674"
