="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="treated",="0.05***",="-0.00",="-0.05***",="-1.62***",="0.04***",="0.06***",="0.00",="0.02",="0.06***",="0.05***",="0.00"
="",="[0.03,0.07]",="[-0.01,0.01]",="[-0.07,-0.03]",="[-1.83,-1.41]",="[0.02,0.06]",="[0.03,0.10]",="[-0.01,0.01]",="[-0.03,0.07]",="[0.03,0.09]",="[0.03,0.07]",="[-0.01,0.01]"
="",="(0.000)",="(0.766)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.543)",="(0.494)",="(0.000)",="(0.000)",="(0.529)"
="group",="0.00",="0.00*",="-0.00",="-0.51***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[0.00,0.00]",="[-0.01,0.00]",="[-0.56,-0.47]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.01,0.01]",="[-0.00,0.01]",="[-0.00,0.01]",="[-0.00,0.00]"
="",="(0.671)",="(0.028)",="(0.195)",="(0.000)",="(0.581)",="(0.536)",="(0.717)",="(0.872)",="(0.565)",="(0.239)",="(0.690)"
="inter_main",="-0.04***",="0.03***",="0.01",="-0.21**",="-0.01",="-0.01",="0.01**",="0.05*",="-0.03*",="-0.01",="0.01**"
="",="[-0.05,-0.03]",="[0.02,0.04]",="[-0.01,0.02]",="[-0.37,-0.06]",="[-0.02,0.01]",="[-0.04,0.01]",="[0.00,0.02]",="[0.01,0.09]",="[-0.05,-0.00]",="[-0.02,0.01]",="[0.00,0.02]"
="",="(0.000)",="(0.000)",="(0.302)",="(0.007)",="(0.201)",="(0.306)",="(0.006)",="(0.012)",="(0.020)",="(0.323)",="(0.004)"
="centered",="0.00",="0.00**",="-0.00**",="0.04***",="0.00**",="0.00**",="0.00*",="0.00*",="0.00**",="0.00**",="0.00*"
="",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.03,0.05]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]"
="",="(0.209)",="(0.004)",="(0.004)",="(0.000)",="(0.002)",="(0.001)",="(0.022)",="(0.047)",="(0.005)",="(0.005)",="(0.023)"
="quad",="-0.00",="0.00",="-0.00",="0.00***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.564)",="(0.377)",="(0.824)",="(0.000)",="(0.719)",="(0.519)",="(0.438)",="(0.522)",="(0.646)",="(0.846)",="(0.458)"
="cub",="-0.00",="-0.00",="0.00",="0.00***",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.134)",="(0.933)",="(0.280)",="(0.000)",="(0.332)",="(0.517)",="(0.973)",="(0.934)",="(0.470)",="(0.274)",="(0.940)"
="lin_inter",="0.00",="-0.00",="0.00",="-0.04***",="-0.00",="-0.00",="0.00",="0.00",="-0.00",="-0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.05,-0.04]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.919)",="(0.944)",="(0.866)",="(0.000)",="(0.688)",="(0.692)",="(0.574)",="(0.324)",="(0.507)",="(0.895)",="(0.591)"
="quad_inter",="0.00",="-0.00",="0.00",="-0.00***",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.729)",="(0.152)",="(0.483)",="(0.000)",="(0.393)",="(0.227)",="(0.129)",="(0.132)",="(0.402)",="(0.500)",="(0.142)"
="cub_inter",="0.00",="0.00",="-0.00",="-0.00***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.126)",="(0.850)",="(0.247)",="(0.000)",="(0.291)",="(0.452)",="(0.846)",="(0.787)",="(0.433)",="(0.241)",="(0.817)"
="mc_mathisp",="-0.01***",="-0.02***",="0.02***",="-1.70***",="-0.02***",="-0.03***",="-0.01***",="-0.02***",="-0.02***",="-0.02***",="-0.01***"
="",="[-0.01,-0.00]",="[-0.02,-0.02]",="[0.02,0.02]",="[-1.74,-1.65]",="[-0.02,-0.02]",="[-0.04,-0.02]",="[-0.01,-0.00]",="[-0.03,-0.01]",="[-0.03,-0.02]",="[-0.02,-0.02]",="[-0.01,-0.00]"
="",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_matblack",="0.02***",="-0.02***",="-0.00",="0.42***",="0.01",="0.01",="-0.00*",="-0.01",="0.01*",="0.00",="-0.00"
="",="[0.02,0.03]",="[-0.02,-0.02]",="[-0.01,0.00]",="[0.34,0.50]",="[-0.00,0.01]",="[-0.00,0.02]",="[-0.01,-0.00]",="[-0.03,0.01]",="[0.00,0.02]",="[-0.00,0.01]",="[-0.01,0.00]"
="",="(0.000)",="(0.000)",="(0.251)",="(0.000)",="(0.062)",="(0.174)",="(0.039)",="(0.182)",="(0.025)",="(0.205)",="(0.059)"
="mc_white",="0.00",="-0.00**",="0.00",="0.27***",="-0.00",="-0.00",="-0.00",="-0.01",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.01]",="[-0.01,-0.00]",="[-0.00,0.01]",="[0.21,0.34]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]"
="",="(0.535)",="(0.002)",="(0.080)",="(0.000)",="(0.085)",="(0.241)",="(0.123)",="(0.081)",="(0.435)",="(0.086)",="(0.137)"
="mc_mat_hs",="0.03***",="0.01***",="-0.04***",="1.27***",="0.04***",="0.07***",="0.01***",="0.04***",="0.06***",="0.04***",="0.01***"
="",="[0.03,0.04]",="[0.01,0.01]",="[-0.05,-0.04]",="[1.21,1.33]",="[0.04,0.05]",="[0.06,0.08]",="[0.01,0.01]",="[0.03,0.05]",="[0.05,0.06]",="[0.04,0.05]",="[0.01,0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_mat_coll",="0.04***",="0.03***",="-0.06***",="-0.02",="0.06***",="0.10***",="0.01***",="0.04***",="0.08***",="0.06***",="0.01***"
="",="[0.03,0.04]",="[0.02,0.03]",="[-0.07,-0.06]",="[-0.08,0.03]",="[0.06,0.07]",="[0.09,0.11]",="[0.01,0.02]",="[0.03,0.06]",="[0.08,0.09]",="[0.06,0.07]",="[0.01,0.02]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.448)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_complications",="0.00",="0.00",="-0.00",="-0.13***",="0.00",="0.01*",="0.00",="0.01",="0.01*",="0.00",="0.00"
="",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.01,0.00]",="[-0.19,-0.06]",="[-0.00,0.01]",="[0.00,0.02]",="[-0.00,0.00]",="[-0.01,0.02]",="[0.00,0.02]",="[-0.00,0.01]",="[-0.00,0.00]"
="",="(0.342)",="(0.824)",="(0.269)",="(0.000)",="(0.130)",="(0.023)",="(0.203)",="(0.366)",="(0.032)",="(0.297)",="(0.198)"
="mc_mat_married",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="mc_pnv",="0.00***",="0.00",="-0.00***",="-0.00",="0.00***",="0.00***",="-0.00*",="-0.00",="0.00***",="0.00***",="-0.00*"
="",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.01,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]"
="",="(0.000)",="(0.183)",="(0.000)",="(0.611)",="(0.000)",="(0.000)",="(0.039)",="(0.095)",="(0.000)",="(0.000)",="(0.038)"
="mc_chronic",="0.01***",="-0.01***",="0.00",="0.43***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[0.00,0.01]",="[-0.01,-0.00]",="[-0.00,0.00]",="[0.39,0.48]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.01,0.01]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.000)",="(0.000)",="(0.973)",="(0.000)",="(0.966)",="(0.530)",="(0.908)",="(0.579)",="(0.494)",="(0.958)",="(0.830)"
="mc_matage",="-0.00***",="0.00***",="0.00***",="-0.09***",="-0.00***",="-0.00**",="0.00***",="0.00***",="-0.00***",="-0.00***",="0.00***"
="",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.10,-0.09]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_csec",="-0.00",="-0.00",="0.00",="-0.05",="-0.00",="-0.01",="-0.00",="-0.01",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.10,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]"
="",="(0.385)",="(0.438)",="(0.255)",="(0.053)",="(0.131)",="(0.100)",="(0.171)",="(0.195)",="(0.161)",="(0.262)",="(0.162)"
="mc_preterm",="0.00",="-0.00",="-0.00",="0.25***",="-0.00",="-0.00",="-0.00",="-0.01",="0.00",="0.00",="-0.00"
="",="[-0.00,0.01]",="[-0.01,0.00]",="[-0.01,0.01]",="[0.18,0.32]",="[-0.01,0.01]",="[-0.01,0.01]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.01]",="[-0.01,0.01]",="[-0.00,0.00]"
="",="(0.395)",="(0.184)",="(0.878)",="(0.000)",="(0.848)",="(0.870)",="(0.458)",="(0.148)",="(0.934)",="(0.975)",="(0.465)"
="_cons",="0.07***",="0.02***",="0.91***",="13.21***",="0.10***",="0.15***",="0.02***",="0.07***",="0.13***",="0.09***",="0.02***"
="",="[0.06,0.09]",="[0.01,0.03]",="[0.89,0.92]",="[13.01,13.42]",="[0.09,0.12]",="[0.12,0.18]",="[0.01,0.03]",="[0.03,0.11]",="[0.10,0.15]",="[0.08,0.11]",="[0.01,0.03]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)"
="N",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346"
