="",="(1)",="",="",="(2)",="",="",="(3)"
="",="",="",="",="",="",="",=""
="",="sum",="mean",="Var",="sum",="mean",="Var",="p"
="age1",="30325",="0.7054",="0.2078",="966",="0.6518",="0.2271",="0.0000"
="age2",="11808",="0.2747",="0.1992",="477",="0.3219",="0.2184",="0.0001"
="age3",="852",="0.0198",="0.0194",="39",="0.0263",="0.0256",="0.1233"
="mc_matasian",="1215",="0.0283",="0.0275",="64",="0.0432",="0.0413",="0.0054"
="mc_white",="32417",="0.7548",="0.1851",="1117",="0.7537",="0.1858",="0.9241"
="mc_matblack",="3911",="0.0911",="0.0828",="117",="0.0789",="0.0728",="0.0900"
="mc_mat_otherrace",="5405",="0.1258",="0.1100",="184",="0.1242",="0.1088",="0.8460"
="mc_mathisp",="18760",="0.4368",="0.2460",="577",="0.3893",="0.2379",="0.0002"
="mc_bornoutsideus",="8408",="0.1958",="0.1574",="231",="0.1559",="0.1317",="0.0000"
="mc_mat_married",="23543",="0.5482",="0.2477",="931",="0.6282",="0.2337",="0.0000"
="mc_mat_hs",="34135",="0.7948",="0.1631",="1387",="0.9359",="0.0600",="0.0000"
="mc_mat_coll",="7081",="0.1649",="0.1377",="488",="0.3293",="0.2210",="0.0000"
="mc_chronic",="12026",="0.2800",="0.2016",="409",="0.2760",="0.1999",="0.7328"
="mc_pnv",="431205",="10.4284",="17.0888",="15517",="10.6719",="14.3307",="0.0164"
="mc_firstcare_firsttrim",="31124",="0.7247",="0.1995",="1181",="0.7969",="0.1620",="0.0000"
="mc_complications",="5078",="0.1182",="0.1043",="199",="0.1343",="0.1163",="0.0747"
="mc_csec",="10348",="0.2409",="0.1829",="342",="0.2308",="0.1776",="0.3613"
="income1",="33363",="0.7761",="0.1738",="733",="0.4946",="0.2501",="0.0000"
="income2",="4790",="0.1114",="0.0990",="196",="0.1323",="0.1148",="0.0198"
="income3",="2939",="0.0684",="0.0637",="315",="0.2126",="0.1675",="0.0000"
="income4",="1004",="0.0234",="0.0228",="143",="0.0965",="0.0872",="0.0000"
="income5",="180",="0.0042",="0.0042",="30",="0.0202",="0.0198",="0.0000"
="income6",="169",="0.0039",="0.0039",="25",="0.0169",="0.0166",="0.0001"
="N",="42989",="",="",="1482",="",="",="44471"
